BEGIN_TIME;REDO_GB/H;WRITES/S;KB/WRITE;MS/WRT_REQ;WRT_MB/S;WRT_BUSY_%;SYNCS/S;MS/SYNC;SYNC_SESS;COMMITS/S
2022-10-18 15:00:49;24.26;450.13;15.33;0.54;28.43;24.27;487.02;0.92;0.45;485.83
2022-10-18 14:00:21;24.38;433.94;15.98;0.64;24.97;27.77;483.82;1.17;0.57;482.38
2022-10-18 13:00:56;24.13;449.21;15.28;0.53;28.71;23.91;486.21;0.89;0.43;485.88
2022-10-18 12:00:29;24.11;445.77;15.39;0.56;27.32;25.11;485.42;0.95;0.46;484.25
2022-10-18 11:00:03;24.14;446.53;15.38;0.56;27.37;25.09;486.82;0.99;0.48;485.62
2022-10-18 10:00:37;24.17;454.45;15.13;0.47;32.33;21.27;486.59;0.73;0.36;485.4
2022-10-18 09:00:11;34.32;455.34;21.44;0.52;41.17;23.71;487.22;0.85;0.42;486.23
2022-10-18 08:00:45;42.99;433.24;28.23;0.66;42.91;28.5;482.07;1.19;0.57;480.41
2022-10-18 07:00:19;43.27;444.91;27.67;0.63;44.02;27.96;488.93;1.07;0.53;487.55
2022-10-18 06:00:54;45.31;441.0;29.23;0.63;46.52;27.7;486.36;1.02;0.5;484.87
2022-10-18 05:00:27;30.62;214.97;40.52;0.79;51.09;17.05;228.63;1.19;0.27;228.02
2022-10-18 04:00:00;27.56;205.42;38.17;1.03;36.91;21.24;224.57;1.72;0.39;223.99
2022-10-18 03:00:35;25.37;204.73;35.24;1.15;30.68;23.52;225.9;1.83;0.41;225.33
2022-10-18 02:00:06;25.16;211.56;33.83;0.98;34.65;20.66;226.07;1.63;0.37;225.62
2022-10-18 01:00:40;26.32;213.34;35.09;0.87;40.55;18.46;223.71;1.34;0.3;223.23
2022-10-18 00:00:13;38.19;290.52;37.39;0.79;47.51;22.86;443.59;1.57;0.7;441.23
2022-10-17 23:00:48;32.0;217.85;41.78;0.79;52.82;17.23;237.2;1.17;0.28;236.42
2022-10-17 22:00:21;27.57;209.71;37.4;0.99;37.9;20.69;227.66;1.49;0.34;226.99
2022-10-17 21:00:56;26.81;207.0;36.85;1.08;34.08;22.38;227.07;2.21;0.5;226.41
2022-10-17 20:00:29;26.9;205.84;37.18;1.05;35.53;21.54;225.19;1.79;0.4;224.41
2022-10-17 19:00:03;32.57;216.74;42.75;0.79;54.16;17.11;226.6;1.69;0.38;226.13
2022-10-17 18:00:38;32.0;220.13;41.35;0.61;68.29;13.33;228.0;0.92;0.21;227.54
2022-10-17 17:00:11;28.95;173.03;47.6;0.67;70.85;11.62;178.06;0.98;0.18;177.89
2022-10-17 16:00:46;32.06;171.07;53.3;0.7;75.7;12.05;176.32;0.91;0.16;176.11
2022-10-17 15:00:19;32.29;171.75;53.48;0.67;79.91;11.5;176.7;0.81;0.14;176.51
2022-10-17 14:00:54;33.1;175.22;53.73;0.62;86.78;10.85;178.25;0.76;0.13;178.08
2022-10-17 13:00:28;23.67;175.01;38.48;0.59;64.75;10.4;181.14;0.75;0.14;181.88
2022-10-17 12:00:01;10.85;187.11;16.5;0.53;31.07;9.94;195.91;0.72;0.14;195.65
2022-10-17 11:00:36;10.85;187.33;16.47;0.51;32.47;9.5;196.11;0.7;0.14;195.86
2022-10-17 10:00:09;10.64;167.67;18.05;0.52;34.83;8.69;175.63;0.71;0.12;175.36
2022-10-17 09:00:44;10.64;166.43;18.18;0.49;37.39;8.09;174.85;0.66;0.11;174.61
2022-10-17 08:00:17;10.72;165.74;18.39;0.63;29.24;10.43;174.87;0.98;0.17;174.62
2022-10-17 07:00:52;10.64;166.31;18.19;0.54;33.77;8.96;175.25;0.73;0.13;174.97
2022-10-17 06:00:26;10.57;166.15;18.09;0.55;33.02;9.1;174.07;0.76;0.13;173.81
2022-10-17 05:01:01;10.43;213.31;13.91;0.58;24.0;12.36;224.14;1.0;0.22;223.63
2022-10-17 04:00:34;10.41;212.48;13.94;0.64;21.82;13.58;225.06;1.07;0.24;224.46
2022-10-17 03:00:08;10.43;211.09;14.05;0.72;19.58;15.15;224.27;1.15;0.26;223.64
2022-10-17 02:00:41;10.42;212.48;13.95;0.69;20.14;14.72;224.19;1.25;0.28;223.65
2022-10-17 01:00:15;10.45;218.0;13.63;0.49;27.87;10.66;225.05;0.77;0.17;224.58
2022-10-17 00:00:49;17.4;229.35;21.58;1.76;12.27;40.35;429.11;4.65;2.0;425.4
2022-10-16 23:00:23;11.29;222.91;14.41;0.54;26.6;12.08;250.32;1.03;0.26;249.33
2022-10-16 22:00:57;10.46;220.05;13.52;0.42;32.14;9.25;225.39;0.52;0.12;224.96
2022-10-16 21:00:31;10.56;221.54;13.56;0.42;32.11;9.36;225.18;0.53;0.12;224.84
2022-10-16 20:00:04;10.67;224.28;13.53;0.42;32.03;9.47;229.34;0.53;0.12;228.91
2022-10-16 19:00:39;10.53;220.32;13.6;0.45;30.39;9.86;225.24;0.56;0.13;224.9
2022-10-16 18:00:13;30.39;654.15;13.22;0.47;28.19;30.67;790.14;0.73;0.58;789.25
2022-10-16 17:00:48;44.15;799.64;15.71;0.53;29.62;42.4;1044.37;0.9;0.94;1042.39
2022-10-16 16:00:20;44.64;821.65;15.45;0.51;30.03;42.28;1057.83;0.87;0.93;1055.96
2022-10-16 15:00:55;44.26;857.99;14.67;0.44;33.32;37.79;1048.53;0.7;0.74;1046.79
2022-10-16 14:00:29;44.83;865.11;14.74;0.43;34.2;37.28;1058.31;0.69;0.73;1056.61
2022-10-16 13:00:02;44.54;846.51;14.97;0.46;32.87;38.55;1057.15;0.75;0.79;1056.42
2022-10-16 12:00:37;44.28;816.33;15.43;0.49;31.19;40.39;1048.07;0.85;0.89;1046.22
2022-10-16 11:00:10;44.52;825.81;15.33;0.5;30.9;40.99;1057.26;0.85;0.9;1055.26
2022-10-16 10:00:45;44.24;835.0;15.07;0.49;30.66;41.04;1047.71;0.8;0.84;1045.8
2022-10-16 09:00:19;44.45;780.48;16.2;0.61;26.71;47.33;1055.58;1.14;1.2;1053.08
2022-10-16 08:00:53;44.09;730.41;17.17;0.77;22.35;56.11;1040.54;1.77;1.84;1037.51
2022-10-16 07:00:27;44.55;791.49;16.01;0.57;27.95;45.33;1058.26;1.07;1.13;1055.96
2022-10-16 06:01:01;47.77;764.0;17.78;0.68;26.29;51.68;1158.07;1.59;1.84;1155.14
2022-10-16 05:00:35;11.03;223.68;14.03;0.54;26.19;11.99;241.97;0.79;0.19;241.29
2022-10-16 04:00:08;10.43;212.34;13.97;0.57;24.54;12.08;224.6;0.78;0.18;224.05
2022-10-16 03:00:43;10.43;214.53;13.83;0.56;24.62;12.05;225.23;0.74;0.17;224.68
2022-10-16 02:00:16;10.46;217.28;13.69;0.44;31.19;9.54;225.12;0.56;0.13;224.57
2022-10-16 01:00:51;10.44;217.63;13.65;0.48;28.67;10.36;225.6;0.64;0.14;225.06
2022-10-16 00:00:24;17.47;304.37;16.32;0.49;33.38;14.88;430.97;0.89;0.38;429.07
2022-10-15 23:00:59;11.16;225.1;14.1;0.53;26.73;11.87;246.42;0.77;0.19;245.78
2022-10-15 22:00:32;10.49;219.31;13.61;0.49;27.95;10.67;226.06;0.68;0.15;225.57
2022-10-15 21:00:06;10.51;219.66;13.61;0.47;28.76;10.4;225.7;0.66;0.15;225.25
2022-10-15 20:00:41;10.66;222.34;13.64;0.46;29.4;10.32;229.03;0.64;0.15;228.57
2022-10-15 19:00:15;10.53;223.19;13.42;0.46;28.99;10.33;226.56;0.61;0.14;226.58
2022-10-15 18:00:49;30.38;666.01;12.98;0.43;30.0;28.81;790.23;0.7;0.55;789.44
2022-10-15 17:00:22;44.25;865.07;14.55;0.41;35.26;35.7;1051.59;0.72;0.76;1050.0
2022-10-15 16:00:57;44.26;860.66;14.63;0.42;35.01;35.96;1048.77;0.76;0.8;1047.15
2022-10-15 15:00:30;44.49;850.49;14.88;0.45;33.09;38.25;1057.85;0.85;0.9;1056.24
2022-10-15 14:00:03;44.66;796.49;15.95;0.58;27.63;45.99;1053.91;1.16;1.22;1051.88
2022-10-15 13:00:38;44.26;828.18;15.2;0.48;31.45;40.02;1048.85;0.92;0.97;1047.95
2022-10-15 12:00:11;44.47;835.22;15.15;0.48;31.61;40.02;1057.44;0.97;1.03;1055.65
