OWNER;TABLE_NAME;B;L;U;COMP;POS;COLS;TOTAL_GB;TOTAL_%;CUM_%;PART.;TABLE_GB;TAB_TABSPACE;IND.;INDEX_GB;IND_TABSPACE;LOBS;LOB_GB
SAPSR3DB;BC_MSG;X;;X;NLN;1;60;652.16;30.17;30.17;0;83.8;PSAPSR3DB;12;26.17;PSAPSR3DB;S4;542.2
SAPSR3DB;BC_MSG_LOG;X;;X;NLN;2;33;553.97;25.63;55.8;0;101.93;PSAPSR3DB;5;17.5;PSAPSR3DB;S3;434.54
SAPSR3DB;BC_MSG_VERSION;X;;X;NLN;3;15;379.03;17.54;73.33;0;22.43;PSAPSR3DB;1;3.25;PSAPSR3DB;S2;353.35
SAPSR3DB;GLX_C_CONTAINER;;;X;NNN;4;11;120.99;5.6;78.93;0;107.62;PSAPSR3DB;1;13.38;PSAPSR3DB;S2;0.0
SAPSR3DB;BC_MSG_AUDIT;X;;;NLN;5;11;81.12;3.75;82.68;0;29.16;PSAPSR3DB;1;1.76;PSAPSR3DB;S2;50.21
SAPSR3DB;BC_BPEM_BL_ENTRY;;;X;NNN;6;10;71.09;3.29;85.97;0;32.46;PSAPSR3DB;10;17.36;PSAPSR3DB;S2;21.26
SAPSR3DB;BC_BPEM_EL_ENTRY;;;X;NN-;7;9;58.09;2.69;88.66;0;26.45;PSAPSR3DB;4;31.65;PSAPSR3DB;0;0.0
SAPSR3DB;BC_BPEM_BL_INDEX;;;X;NN-;8;6;53.85;2.49;91.15;0;17.09;PSAPSR3DB;4;36.76;PSAPSR3DB;0;0.0
SAPSR3DB;BC_BPEM_EL_MSG;;;X;NN-;9;3;29.35;1.36;92.51;0;17.11;PSAPSR3DB;1;12.24;PSAPSR3DB;0;0.0
SAPSR3DB;BC_BPEM_EL_MSG_CTX;;;X;NL-;10;4;28.19;1.3;93.81;0;20.19;PSAPSR3DB;1;8.0;PSAPSR3DB;0;0.0
SAPSR3DB;BC_BPEM_EL_RDS;;;X;NL-;11;11;26.78;1.24;95.05;0;15.75;PSAPSR3DB;1;11.03;PSAPSR3DB;0;0.0
SAPSR3DB;BC_MSG_DUP_CHECK;;;X;NL-;12;3;19.83;0.92;95.97;0;7.71;PSAPSR3DB;2;12.12;PSAPSR3DB;0;0.0
SAPSR3DB;GLX_C_OBJECTS;;;X;NNN;13;4;11.13;0.51;96.48;0;9.06;PSAPSR3DB;3;2.06;PSAPSR3DB;S1;0.0
SAPSR3DB;XI_AF_PROF_PERF_CA;;;X;NLN;14;11;11.06;0.51;97.0;0;10.75;PSAPSR3DB;2;0.25;PSAPSR3DB;S1;0.05
SAPSR3DB;J2EE_CONFIGENTRY;;;;NNN;15;10;5.64;0.26;97.26;0;0.38;PSAPSR3DB;2;0.16;PSAPSR3DB;S1;5.1
SAPSR3DB;BC_JOB_LOG;;;X;NNN;16;10;4.4;0.2;97.46;0;2.0;PSAPSR3DB;1;0.17;PSAPSR3DB;S1;2.23
SAPSR3DB;XI_AF_LMS_DATA;;;X;NN-;17;5;3.81;0.18;97.64;0;1.32;PSAPSR3DB;2;2.49;PSAPSR3DB;0;0.0
SAPSR3DB;GLX_RRH_TEXT_CACHE;;;X;NLN;18;6;1.54;0.07;97.71;0;1.26;PSAPSR3DB;2;0.29;PSAPSR3DB;S1;0.0
SAPSR3DB;BC_SLD_INST;;;X;NNN;19;11;1.21;0.06;97.76;0;1.07;PSAPSR3DB;3;0.14;PSAPSR3DB;S2;0.0
SAPSR3DB;XI_AF_ADM_PROC_LOG;;;X;NN-;20;11;1.08;0.05;97.81;0;1.0;PSAPSR3DB;1;0.08;PSAPSR3DB;0;0.0
SAPSR3DB;BC_SLD_CHANGELOG;X;;X;NNN;21;18;1.06;0.05;97.86;0;0.88;PSAPSR3DB;3;0.16;PSAPSR3DB;S2;0.02
SAPSR3DB;BPEM_IDX_OBJ;;;;NL-;22;13;0.93;0.04;97.91;0;0.64;PSAPSR3DB;2;0.29;PSAPSR3DB;0;0.0
SAPSR3DB;BPEM_IDX_REL;;;X;NL-;23;3;0.87;0.04;97.95;0;0.65;PSAPSR3DB;2;0.23;PSAPSR3DB;0;0.0
SAPSR3DB;GLX_C_ASYNCQ_ERR;;;X;NNN;24;4;0.86;0.04;97.99;0;0.01;PSAPSR3DB;1;0.01;PSAPSR3DB;S1;0.85
SAPSR3DB;BC_JOB_TASKS;;;X;NN-;25;13;0.75;0.03;98.02;0;0.35;PSAPSR3DB;4;0.4;PSAPSR3DB;0;0.0
SAPSR3DB;ZPO_ROUTING_TABLE;;;X;NN-;26;6;0.73;0.03;98.06;0;0.41;PSAPSR3DB;1;0.31;PSAPSR3DB;0;0.0
