"OWNER;TABLE_NAME;B;L;U;COMP;POS;COLS;TOTAL_GB;TOTAL_%;CUM_%;PART.;TABLE_GB;TAB_TABSPACE;IND.;INDEX_GB;IND_TABSPACE;LOBS;LOB_GB"
"SAPSR3DB;BC_MSG;X;;X;NLN;1;60;928.78;30.93;30.93;0;119.63;PSAPSR3DB;12;37.20;PSAPSR3DB;S4;771.96"
"SAPSR3DB;BC_MSG_LOG;X;;X;NLN;2;33;785.75;26.17;57.10;0;143.94;PSAPSR3DB;5;24.66;PSAPSR3DB;S3;617.15"
"SAPSR3DB;BC_MSG_VERSION;X;;X;NLN;3;15;539.28;17.96;75.06;0;32.02;PSAPSR3DB;1;4.56;PSAPSR3DB;S2;502.70"
"SAPSR3DB;BC_BPEM_BL_ENTRY;;;X;NNN;4;10;132.38;4.41;79.47;0;63.32;PSAPSR3DB;10;24.75;PSAPSR3DB;S2;44.31"
"SAPSR3DB;GLX_C_CONTAINER;;;X;NNN;5;11;123.44;4.11;83.58;0;108.94;PSAPSR3DB;1;14.50;PSAPSR3DB;S2;0.00"
"SAPSR3DB;BC_MSG_AUDIT;X;;;NLN;6;11;114.37;3.81;87.39;0;41.20;PSAPSR3DB;1;2.51;PSAPSR3DB;S2;70.66"
"SAPSR3DB;BC_BPEM_BL_INDEX;;;X;NN-;7;6;92.32;3.07;90.47;0;33.76;PSAPSR3DB;4;58.56;PSAPSR3DB;0;0.00"
"SAPSR3DB;BC_BPEM_EL_ENTRY;;;X;NN-;8;9;62.70;2.09;92.56;0;28.48;PSAPSR3DB;4;34.21;PSAPSR3DB;0;0.00"
"SAPSR3DB;BC_BPEM_EL_RDS;;;X;NL-;9;11;51.89;1.73;94.28;0;31.95;PSAPSR3DB;1;19.94;PSAPSR3DB;0;0.00"
"SAPSR3DB;BC_BPEM_EL_MSG;;;X;NN-;10;3;30.10;1.00;95.29;0;17.42;PSAPSR3DB;1;12.68;PSAPSR3DB;0;0.00"
"SAPSR3DB;BC_BPEM_EL_MSG_CTX;;;X;NL-;11;4;28.50;0.95;96.24;0;20.44;PSAPSR3DB;1;8.06;PSAPSR3DB;0;0.00"
"SAPSR3DB;BC_MSG_DUP_CHECK;;;X;NL-;12;3;25.67;0.85;97.09;0;10.21;PSAPSR3DB;2;15.45;PSAPSR3DB;0;0.00"
"SAPSR3DB;GLX_C_OBJECTS;;;X;NNN;13;4;11.25;0.37;97.47;0;9.06;PSAPSR3DB;3;2.19;PSAPSR3DB;S1;0.00"
"SAPSR3DB;XI_AF_PROF_PERF_CA;;;X;NLN;14;11;11.12;0.37;97.84;0;10.75;PSAPSR3DB;2;0.31;PSAPSR3DB;S1;0.05"
"SAPSR3DB;J2EE_CONFIGENTRY;;;;NNN;15;10;5.64;0.19;98.02;0;0.38;PSAPSR3DB;2;0.16;PSAPSR3DB;S1;5.10"
"SAPSR3DB;XI_AF_LMS_DATA;;;X;NN-;16;5;5.30;0.18;98.20;0;1.88;PSAPSR3DB;2;3.43;PSAPSR3DB;0;0.00"
"SAPSR3DB;BC_JOB_LOG;;;X;NNN;17;10;4.40;0.15;98.35;0;2.00;PSAPSR3DB;1;0.17;PSAPSR3DB;S1;2.23"
"SAPSR3DB;GLX_RRH_TEXT_CACHE;;;X;NLN;18;6;1.64;0.05;98.40;0;1.26;PSAPSR3DB;2;0.38;PSAPSR3DB;S1;0.00"
"SAPSR3DB;BC_SLD_INST;;;X;NNN;19;11;1.21;0.04;98.44;0;1.07;PSAPSR3DB;3;0.14;PSAPSR3DB;S2;0.00"
"SAPSR3DB;XI_AF_ADM_PROC_LOG;;;X;NN-;20;11;1.08;0.04;98.48;0;1.00;PSAPSR3DB;1;0.08;PSAPSR3DB;0;0.00"
"SAPSR3DB;BC_SLD_CHANGELOG;X;;X;NNN;21;18;1.06;0.04;98.51;0;0.88;PSAPSR3DB;3;0.16;PSAPSR3DB;S2;0.02"
"SAPSR3DB;BPEM_IDX_OBJ;;;;NL-;22;13;1.03;0.03;98.55;0;0.64;PSAPSR3DB;2;0.38;PSAPSR3DB;0;0.00"
"SAPSR3DB;BPEM_IDX_REL;;;X;NL-;23;3;0.97;0.03;98.58;0;0.65;PSAPSR3DB;2;0.32;PSAPSR3DB;0;0.00"
"SAPSR3DB;GLX_C_ASYNCQ_ERR;;;X;NNN;24;4;0.86;0.03;98.61;0;0.01;PSAPSR3DB;1;0.01;PSAPSR3DB;S1;0.85"
"SAPSR3DB;BC_JOB_TASKS;;;X;NN-;25;13;0.75;0.02;98.63;0;0.35;PSAPSR3DB;4;0.40;PSAPSR3DB;0;0.00"
"SAPSR3DB;ZPO_ROUTING_TABLE;;;X;NN-;26;6;0.73;0.02;98.66;0;0.41;PSAPSR3DB;1;0.31;PSAPSR3DB;0;0.00"
"SAPSR3DB;BC_JOB_TASK_PARAM;;;X;NLN;27;5;0.69;0.02;98.68;0;0.44;PSAPSR3DB;1;0.26;PSAPSR3DB;S1;0.00"
"SAPSR3DB;EP_ATTR_VALUES3;;;X;NNN;28;12;0.65;0.02;98.70;0;0.08;PSAPSR3DB;2;0.07;PSAPSR3DB;S2;0.50"
"SAPSR3DB;BPEM_IDX_ROLES;;;;NL-;29;4;0.62;0.02;98.72;0;0.36;PSAPSR3DB;2;0.27;PSAPSR3DB;0;0.00"
"SYSTEM;LOGMNR_RESTART_CKPT$;;;X;NLN;30;15;0.59;0.02;98.74;0;0.52;SYSAUX;1;0.05;SYSAUX;B2;0.01"
"SAPSR3DB;GLX_C_SUBSCRIPT_FP;;;X;NL-;31;4;0.58;0.02;98.76;0;0.20;PSAPSR3DB;2;0.38;PSAPSR3DB;0;0.00"
"SAPSR3DB;ZPO_EAN_LOOKUP_2;;;X;NN-;32;6;0.51;0.02;98.78;0;0.37;PSAPSR3DB;1;0.14;PSAPSR3DB;0;0.00"
"SAPSR3DB;BC_JOB_JOBS_CO;;;X;NN-;33;18;0.49;0.02;98.80;0;0.13;PSAPSR3DB;13;0.36;PSAPSR3DB;0;0.00"
"SAPSR3DB;GLX_CONT_DO_REF;;;X;NL-;34;4;0.46;0.02;98.81;0;0.37;PSAPSR3DB;1;0.09;PSAPSR3DB;0;0.00"
"SAPSR3DB;GLX_C_MONITOR;;;X;NNN;35;3;0.41;0.01;98.82;0;0.00;PSAPSR3DB;1;0.00;PSAPSR3DB;S1;0.41"
"SAPSR3DB;GLX_RR_GEN_CONT;;;X;NNN;36;3;0.40;0.01;98.84;0;0.01;PSAPSR3DB;2;0.00;PSAPSR3DB;S1;0.39"
"SAPSR3DB;XI_AF_PROF_CACHE;;;X;NL-;37;7;0.38;0.01;98.85;0;0.34;PSAPSR3DB;2;0.05;PSAPSR3DB;0;0.00"
"SAPSR3DB;XI_AF_SVC_ID_MAP;;;X;NN-;38;4;0.37;0.01;98.86;0;0.11;PSAPSR3DB;3;0.26;PSAPSR3DB;0;0.00"
"SYS;WRH$_ACTIVE_SESSION_HISTORY;X;;X;NN-;39;78;0.35;0.01;98.87;10;0.30;SYSAUX;1;0.05;SYSAUX;0;0.00"
"SYS;WRI$_EMX_FILES;;;X;NNN;40;6;0.31;0.01;98.88;0;0.00;SYSAUX;2;0.00;SYSAUX;S2;0.31"
"SAPSR3DB;BC_SLD_ASSINST;;;X;NN-;41;8;0.31;0.01;98.89;0;0.09;PSAPSR3DB;2;0.21;PSAPSR3DB;0;0.00"
"SAPSR3DB;GLX_C_SUBSCRIPT;;;X;NN-;42;5;0.29;0.01;98.90;0;0.20;PSAPSR3DB;1;0.09;PSAPSR3DB;0;0.00"
"SAPSR3DB;XI_RUNMAPPINGS;;;X;NNN;43;11;0.28;0.01;98.91;0;0.02;PSAPSR3DB;3;0.01;PSAPSR3DB;S1;0.26"
"SAPSR3DB;BC_JOB_RECURRINGS;;;;NN-;44;5;0.28;0.01;98.92;0;0.17;PSAPSR3DB;1;0.12;PSAPSR3DB;0;0.00"
"SAPSR3DB;BC_SYNCLOG;;;X;NNN;45;3;0.22;0.01;98.93;0;0.00;PSAPSR3DB;1;0.00;PSAPSR3DB;S1;0.22"
"SYS;WRI$_OPTSTAT_HISTGRM_HISTORY;X;;;NN-;46;17;0.22;0.01;98.94;1;0.00;SYSAUX;2;0.22;SYSAUX;0;0.00"
"SYS;WRH$_SYSSTAT;;;X;NN-;47;7;0.22;0.01;98.94;10;0.08;SYSAUX;1;0.13;SYSAUX;0;0.00"
"SYS;WRH$_SYSMETRIC_HISTORY;;;;NN-;48;11;0.21;0.01;98.95;10;0.09;SYSAUX;1;0.12;SYSAUX;0;0.00"
"SAPSR3DB;BC_JOB_JOB_ARGS;;;X;NNN;49;5;0.21;0.01;98.96;0;0.12;PSAPSR3DB;1;0.09;PSAPSR3DB;S1;0.00"
"SYS;WRH$_EVENT_HISTOGRAM;;;X;NN-;50;8;0.17;0.01;98.96;10;0.07;SYSAUX;1;0.10;SYSAUX;0;0.00"
"SAPSR3DB;J2EE_CONFIG;;;X;NN-;51;8;0.17;0.01;98.97;0;0.05;PSAPSR3DB;6;0.11;PSAPSR3DB;0;0.00"
"SYS;REGISTRY$SQLPATCH_RU_INFO;;;X;NNN;52;7;0.14;0.00;98.97;0;0.00;SYSTEM;1;0.00;SYSTEM;B2;0.14"
"SYS;WRH$_LATCH;;;X;NN-;53;18;0.13;0.00;98.98;10;0.07;SYSAUX;1;0.07;SYSAUX;0;0.00"
"SAPSR3DB;BC_JMSTOPIC;;;X;NNN;54;15;0.13;0.00;98.98;0;0.11;PSAPSR3DB;3;0.01;PSAPSR3DB;S1;0.00"
"SYS;WRH$_SQL_PLAN;;;X;NNN;55;40;0.12;0.00;98.99;0;0.03;SYSAUX;1;0.02;SYSAUX;S1;0.08"
"SAPSR3DB;XI_REPDATABLOBS;;;X;NNN;56;5;0.12;0.00;98.99;0;0.01;PSAPSR3DB;1;0.00;PSAPSR3DB;S1;0.11"
"SAPSR3DB;XI_AF_PROF_PERF_AC;;;X;NNN;57;14;0.11;0.00;99.00;0;0.09;PSAPSR3DB;1;0.00;PSAPSR3DB;S1;0.02"
"SAPSR3DB;BC_MON_AGREGATES;;;X;NN-;58;9;0.11;0.00;99.00;0;0.01;PSAPSR3DB;2;0.10;PSAPSR3DB;0;0.00"
"SAPSR3DB;XI_REPSYNCBLOBS;;;X;NNN;59;7;0.11;0.00;99.00;0;0.01;PSAPSR3DB;1;0.00;PSAPSR3DB;S1;0.10"
