DAY;00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23
2022/10/12;4;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022/10/11;3;0;0;0;0;0;1;1;1;1;0;1;0;0;1;0;1;0;0;0;0;1;2;1
2022/10/10;1;0;1;1;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1
2022/10/09;2;0;1;1;0;0;2;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2022/10/08;0;1;0;1;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;0;0;1
2022/10/07;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
2022/10/06;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022/10/05;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2022/10/04;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022/10/02;5;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1
2022/10/01;0;1;0;0;1;1;0;1;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0
2022/09/30;3;0;0;0;0;1;1;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;1
2022/09/29;4;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0
2022/09/28;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2022/09/27;4;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;1;1;1
2022/09/26;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0
2022/09/25;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022/09/24;3;1;0;1;0;1;0;0;1;0;0;1;1;0;1;1;1;1;0;0;0;0;0;1
2022/09/23;5;0;1;0;0;1;0;0;0;0;0;1;1;1;0;1;1;1;0;0;0;0;0;1
2022/09/22;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022/09/21;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0
2022/09/20;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0
2022/09/19;1;0;0;1;0;1;1;1;0;1;0;1;1;0;1;1;1;1;0;0;0;0;0;0
2022/09/18;1;1;0;0;1;0;0;1;1;0;1;1;1;0;1;0;1;0;1;0;0;1;1;1
2022/09/17;1;1;0;1;1;1;1;1;0;1;1;0;1;0;1;0;0;1;0;0;1;1;1;1
2022/09/16;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;1;1;1;1;0;1;1;0
2022/09/15;0;0;0;1;0;0;0;1;0;1;0;1;0;175;0;1;1;0;1;1;0;1;1;0
2022/09/14;1;1;1;0;1;1;1;0;0;1;1;1;0;1;0;1;1;1;0;1;0;1;0;1
2022/09/13;1;0;1;1;1;1;0;1;0;0;1;1;0;1;1;0;1;0;0;1;0;1;0;1
2022/09/12;1;0;1;0;1;0;1;1;1;1;0;1;0;1;1;1;1;0;1;1;1;0;1;0
2022/09/11;0;1;0;1;0;1;1;0;1;0;1;1;1;1;0;1;0;1;1;1;1;0;1;1
2022/09/10;1;0;1;1;1;0;1;0;1;1;1;0;1;1;0;1;0;0;1;0;1;0;0;1
2022/09/09;0;1;1;1;0;0;0;1;1;1;0;0;0;1;0;0;0;1;0;1;1;0;0;1
2022/09/08;2;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;1
2022/09/07;6;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;0
2022/09/06;5;0;1;0;0;0;6;0;0;0;3;0;1;1;1;1;1;0;0;0;1;1;0;0
2022/09/05;1;1;0;0;1;0;1;1;9;38;43;39;36;30;40;8;10;10;4;5;2;0;0;0
2022/09/04;7;0;0;0;0;0;3;0;9;41;45;41;38;42;44;9;9;9;4;5;2;0;0;0
2022/09/03;7;0;0;1;0;1;11;8;10;46;42;38;44;46;42;9;10;9;5;4;2;0;0;1
2022/09/02;4;0;0;0;0;0;0;1;0;1;0;0;1;4;6;4;5;5;6;6;3;0;0;1
2022/09/01;4;1;1;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0
2022/08/31;5;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;2;0;0;1
2022/08/30;5;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
2022/08/29;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2022/08/28;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022/08/27;4;0;1;1;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;1
2022/08/26;4;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022/08/25;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022/08/24;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
2022/08/23;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2022/08/22;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
2022/08/21;4;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1
2022/08/20;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2022/08/19;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
2022/08/18;5;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
2022/08/17;4;0;1;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
2022/08/16;7;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2022/08/15;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2022/08/14;1;1;1;0;0;0;1;1;1;1;1;0;1;1;1;1;0;1;0;0;0;0;0;0
2022/08/13;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2022/08/12;5;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022/08/11;6;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022/08/10;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
2022/08/09;5;1;0;0;1;0;1;1;8;7;9;8;10;9;9;8;11;0;0;0;0;0;0;0
2022/08/08;0;0;0;1;0;0;0;1;10;7;8;7;8;10;7;8;10;11;4;4;2;1;1;0
